"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2021","전라남도","여자",910990.5,26046,36661,39115.5,40422.5,45706.5,41030,37594.5,48215.5,55657,62737,70985.5,72734.5,77602.5,59489.5,54374.5,52355,90263.5,48629.5,41634,28044.5,10760,2452,377.5
"2021","경상북도","계",2619827.5,76085.5,107895.5,109890,113856,142350,136969,127660,155956,176791,200743,225469.5,228374,235783,182997.5,134621.5,107183.5,157202.5,88611.5,68591,48880.5,15978.5,3241.5,490.5
"2021","경상북도","남자",1319711.5,39068.5,55729,57117,60346,79985.5,78211,69988.5,81530,92339,104403.5,117010.5,118038.5,119065,89302,64325.5,44076,49176,31192.5,17983.5,14046,3368,523.5,46
"2021","경상북도","여자",1300116,37017,52166.5,52773,53510,62364.5,58758,57671.5,74426,84452,96339.5,108459,110335.5,116718,93695.5,70296,63107.5,108026.5,57419,50607.5,34834.5,12610.5,2718,444.5
"2021","경상남도","계",3311248.5,103296.5,156346.5,162239.5,159358,188327,181409.5,169695.5,218062.5,252651,275520,298644,278384.5,276334,199239.5,140810.5,105463.5,145466.5,82729,62737.5,44725,14814,2832.5,366
"2021","경상남도","남자",1666507.5,53108,80422,83816.5,84121,105039.5,101038,90294.5,112593.5,130149.5,141554.5,152309.5,142357.5,138786.5,97697,66313,43408,43499,28241.5,15257.5,11921,2856.5,424.5,55.5
"2021","경상남도","여자",1644741,50188.5,75924.5,78423,75237,83287.5,80371.5,79401,105469,122501.5,133965.5,146334.5,136027,137547.5,101542.5,74497.5,62055.5,101967.5,54487.5,47480,32804,11957.5,2408,310.5
"2021","제주특별자치도","계",670992.5,24027.5,35090,35892,34550.5,40498,41100,35527,45845.5,52657,58294,59489,52928,47906,33322,25198,20056,28612,15302,13310,9082.5,3138.5,917,172
"2021","제주특별자치도","남자",336679.5,12345,18014.5,18581,18264,21509.5,21610,18056.5,22954,26709,30312.5,30980.5,27475.5,24157.5,16279,11833,8771,8827,5660,3167,2554.5,523.5,79,10
"2021","제주특별자치도","여자",334313,11682.5,17075.5,17311,16286.5,18988.5,19490,17470.5,22891.5,25948,27981.5,28508.5,25452.5,23748.5,17043,13365,11285,19785,9642,10143,6528,2615,838,162
